timestamp,lat,lon,altitude,velocity,direction,distance,vario,sl_distance,3tp_dist,elevation,velocity_lr,altitude_lr,elevation_lr,vario_lr,local_time,outline_x,outline_y,map_coordinate,pixel_distance_line,fraction,zoom_level
2024-05-19 13:41:18,61.88535,6.830133333333333,987.0,0.0,-0.5291302506845064,0.0,0.0,0.0,0,796.0607267646527,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:18+02:00,33.51544674200118,65.86030576789092,"[{""x"": 950.2052503703705, ""y"": 843.5938371711507}, {""x"": 731.1026251851853, ""y"": 677.7969185855562}]",0.0,0,0
2024-05-19 13:41:19.001001,61.88535001668333,6.830116666666667,987.0,0.8728939411375692,-0.4407628566162156,0.0,0.0,0.8733221376301371,2,796.0145694637797,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:19.001001+02:00,33.51522544197251,65.86030529639358,"[{""x"": 950.1567051851863, ""y"": 843.5937340517102}, {""x"": 731.0783525925931, ""y"": 677.796867025836}]",0.04854518518425266,0,0
2024-05-19 13:41:20.002002,61.88536666666667,6.830116666666667,987.0,1.8495385734183374,-0.3461572680963757,0.0,0.0,2.0487113794309773,5,797.199409892265,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:20.002002+02:00,33.51522544197251,65.8598347415389,"[{""x"": 950.1567051851863, ""y"": 843.4908207369764}, {""x"": 731.0783525925931, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:21.003003,61.88536666666667,6.830116716716667,987.0,0.0026239211305844347,-0.23150511731400916,0.0,0.0,2.0475948071638217,8,797.1995537583251,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:21.003003+02:00,33.515226106536495,65.8598347415389,"[{""x"": 950.1568509663765, ""y"": 843.4908207369764}, {""x"": 731.0784254831883, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:22.004004,61.88536666666667,6.830133333333333,987.0,0.8702680487437812,-0.16544400948213628,0.0,-0.0004797043173432039,1.853248777470834,11,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:22.004004+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:23.005005,61.88536666666667,6.830133333333333,987.0,0.0,-0.1327835044005628,0.0,-0.0363948344169751,1.853248777470834,14,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:23.005005+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:24.006006,61.88536666666667,6.830133333333333,987.0,0.0,-0.08904958263449779,0.0,-0.004236161811806319,1.853248777470834,17,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:24.006006+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:25.007007,61.88536666666667,6.830133333333333,987.0,0.0,0.0,0.0,-0.040601475963099536,1.853248777470834,20,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:25.007007+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:26.008008,61.88536666666667,6.830133333333333,987.0,0.0,0.08904958263449779,0.0,-0.04428782282656818,1.853248777470834,22,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:26.008008+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:27.009009,61.88536666666667,6.830133333333333,987.0,0.0,0.2164180992138852,0.0,-0.0479741696900368,1.853248777470834,25,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:27.009009+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:28.010010,61.88536666666667,6.830133333333333,987.0,0.0,0.26429021552501714,0.0,-0.050959410243543904,1.853248777470834,28,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:28.010010+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
2024-05-19 13:41:29.011011,61.88536666666667,6.830133333333333,987.0,0.0,0.3149334732305484,0.0,-0.01841328415129157,1.853248777470834,31,797.2473173384944,5.157317765263069,991.3829662833333,785.6706823639778,-0.3076327177057194,2024-05-19 15:41:29.011011+02:00,33.51544674200118,65.8598347415389,"[{""x"": 950.2052503703705, ""y"": 843.4908207369764}, {""x"": 731.1026251851853, ""y"": 677.7454103684692}]",0.10301643417426476,0,0
